-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2025 in LST
Location: Latitude  -13.8779   Longitude 33.7555 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1168.39 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
RH2M        MERRA-2 Relative Humidity at 2 Meters (%) 
T2M         MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX     MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN     MERRA-2 Temperature at 2 Meters Minimum (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
RH2M,1981,82.13,87.1,88.0,83.15,80.07,71.75,68.06,61.86,53.6,54.18,58.02,71.61,71.56
RH2M,1982,85.42,88.16,85.69,85.76,82.14,80.08,73.64,67.34,58.99,64.68,68.29,80.96,76.71
RH2M,1983,82.94,84.55,85.95,83.31,79.91,71.64,70.44,63.37,51.9,50.56,52.54,81.36,71.51
RH2M,1984,84.03,87.97,88.95,85.6,84.87,81.6,74.84,63.83,54.69,51.06,72.53,83.38,76.08
RH2M,1985,86.2,87.85,89.44,86.68,83.04,78.11,72.82,68.61,62.38,57.43,68.53,83.24,76.97
RH2M,1986,88.14,86.68,87.16,87.55,81.95,76.34,69.71,60.6,55.76,61.82,72.62,83.84,75.96
RH2M,1987,86.04,86.93,84.96,82.55,80.8,72.2,67.11,66.59,56.54,52.65,50.49,71.92,71.51
RH2M,1988,83.8,86.53,87.97,86.66,82.6,77.62,73.26,62.89,54.41,58.17,60.49,72.58,73.89
RH2M,1989,85.21,89.44,89.08,87.6,83.81,80.9,74.22,70.59,60.72,54.07,62.42,78.53,76.31
RH2M,1990,85.88,85.33,82.3,82.48,80.16,71.98,63.46,61.15,51.56,45.38,51.51,70.25,69.21
RH2M,1991,83.66,84.5,86.63,81.59,75.92,68.07,66.86,55.76,45.28,51.11,63.97,75.85,69.87
RH2M,1992,79.26,70.18,80.15,72.66,70.0,65.76,60.19,53.65,44.22,44.55,58.6,75.18,64.55
RH2M,1993,82.43,87.14,87.25,86.54,78.79,77.27,72.96,65.21,57.27,52.12,63.04,68.03,73.08
RH2M,1994,83.34,82.23,78.09,75.25,61.89,64.6,62.35,56.09,46.31,49.17,48.22,71.74,64.87
RH2M,1995,82.94,82.28,83.68,78.04,72.54,65.0,61.64,59.28,44.95,45.61,48.73,74.87,66.58
RH2M,1996,83.98,86.61,87.47,83.87,84.59,75.74,68.26,59.81,53.86,49.42,46.29,76.26,71.33
RH2M,1997,85.47,88.42,87.39,85.18,79.11,77.28,72.73,61.56,57.64,57.41,59.32,79.68,74.2
RH2M,1998,86.4,77.88,81.67,67.63,56.64,57.06,56.21,56.42,48.68,51.26,57.0,73.59,64.16
RH2M,1999,85.87,87.65,88.18,87.32,83.24,78.44,76.82,70.43,61.63,54.39,68.17,68.02,75.77
RH2M,2000,77.83,83.54,86.59,81.91,70.61,70.79,66.19,60.35,47.37,48.54,73.76,80.91,70.65
RH2M,2001,81.45,87.86,87.79,84.08,77.98,69.81,64.26,61.09,47.94,46.19,53.22,73.53,69.51
RH2M,2002,82.64,82.1,83.51,79.37,67.9,69.52,64.54,63.1,57.26,49.77,50.57,71.65,68.43
RH2M,2003,80.17,84.53,86.2,82.16,75.84,71.97,70.83,57.91,57.65,46.61,54.61,79.2,70.57
RH2M,2004,80.97,84.59,85.67,84.95,78.05,72.59,67.01,59.91,53.09,54.61,67.24,83.67,72.67
RH2M,2005,86.19,81.76,80.0,71.39,64.63,67.06,62.53,51.9,48.61,47.78,55.23,75.48,65.98
RH2M,2006,86.25,84.69,87.85,84.03,76.27,73.02,69.18,59.28,53.16,50.65,60.34,77.99,71.83
RH2M,2007,86.35,85.08,83.94,81.13,72.34,68.47,66.93,56.31,46.84,54.12,56.34,80.5,69.81
RH2M,2008,86.83,81.63,84.21,78.46,71.09,68.25,64.47,57.28,43.6,45.66,55.67,79.77,68.07
RH2M,2009,85.07,86.44,86.6,82.74,76.97,68.55,70.11,60.13,52.2,48.49,61.79,73.62,70.98
RH2M,2010,78.17,87.55,85.67,81.71,71.09,71.23,69.25,61.82,48.47,44.32,55.12,83.27,69.72
RH2M,2011,86.22,84.25,86.7,84.96,78.76,69.94,63.45,58.98,50.18,52.66,64.68,69.04,70.74
RH2M,2012,84.65,84.37,84.93,81.51,72.79,70.48,61.7,59.87,49.77,46.12,55.1,75.45,68.86
RH2M,2013,86.17,84.99,84.49,79.51,74.82,68.63,66.73,55.11,45.34,50.98,52.59,72.31,68.41
RH2M,2014,86.64,87.76,87.41,84.39,78.1,72.31,68.99,61.88,54.82,46.51,48.38,70.17,70.53
RH2M,2015,86.67,86.75,85.38,80.04,71.11,69.0,66.73,54.91,48.23,46.76,51.06,70.2,67.98
RH2M,2016,79.54,82.85,82.71,77.51,70.85,67.25,64.83,53.84,49.38,44.7,51.69,72.48,66.43
RH2M,2017,84.73,87.98,85.95,84.6,80.36,75.05,67.19,62.39,50.18,46.05,59.98,77.02,71.7
RH2M,2018,73.69,85.73,86.31,83.09,78.89,70.46,70.42,60.89,54.79,50.66,57.9,80.59,71.05
RH2M,2019,86.46,87.24,85.96,84.51,80.25,77.23,67.11,62.57,52.15,59.23,60.43,79.8,73.52
RH2M,2020,85.92,87.49,84.87,82.38,75.97,72.9,70.64,60.48,52.27,51.91,53.84,80.26,71.56
RH2M,2021,86.33,87.42,88.29,85.41,78.12,78.71,73.3,64.49,61.2,53.1,51.53,59.56,72.2
RH2M,2022,86.07,87.83,86.93,87.04,80.52,80.37,76.96,68.38,59.89,46.99,61.16,80.17,75.12
RH2M,2023,86.12,89.35,88.54,86.23,80.44,73.8,73.28,66.89,59.08,55.45,59.7,72.11,74.17
RH2M,2024,84.23,81.42,86.1,83.88,77.71,72.19,55.88,59.09,52.39,51.87,65.71,72.84,70.23
RH2M,2025,85.43,86.31,85.68,84.78,82.16,74.56,69.97,57.63,48.34,46.17,67.73,79.68,72.29
T2M,1981,21.24,20.57,20.16,17.85,15.64,13.45,13.97,16.85,20.5,22.57,24.18,22.4,19.1
T2M,1982,20.71,20.42,20.43,19.04,15.93,15.02,14.4,16.47,19.22,21.51,22.16,21.55,18.89
T2M,1983,21.61,21.2,20.96,19.82,18.54,16.71,16.1,16.94,20.97,23.0,25.09,21.21,20.17
T2M,1984,20.62,20.22,19.78,18.5,17.01,14.49,14.62,16.08,20.78,23.68,21.66,20.73,19.01
T2M,1985,20.7,19.88,19.95,18.48,16.28,14.06,14.34,15.9,19.9,21.86,21.85,20.83,18.66
T2M,1986,20.07,20.35,20.0,19.35,16.71,13.45,13.86,16.46,19.52,22.56,22.1,21.15,18.79
T2M,1987,20.74,20.96,20.75,18.66,17.41,14.22,14.58,17.5,21.03,22.55,25.1,23.32,19.72
T2M,1988,21.59,21.05,20.54,19.85,16.12,15.69,15.57,17.09,20.19,22.97,22.33,22.27,19.6
T2M,1989,20.73,20.07,19.62,18.61,16.49,14.54,14.35,16.42,19.61,22.56,23.05,21.91,18.99
T2M,1990,20.64,20.88,19.88,19.71,17.81,16.4,15.73,16.95,19.74,23.61,24.51,22.78,19.88
T2M,1991,21.37,21.38,20.5,18.39,17.41,15.19,15.42,17.78,21.37,23.08,22.9,22.06,19.73
T2M,1992,21.77,22.75,21.7,20.53,19.28,16.95,15.66,17.19,21.12,23.75,23.69,22.12,20.53
T2M,1993,21.0,20.84,20.23,19.36,17.19,14.39,14.43,16.57,19.61,23.3,23.85,23.45,19.51
T2M,1994,21.5,20.61,20.5,19.67,17.99,16.2,15.8,17.99,21.13,23.16,25.14,22.61,20.18
T2M,1995,21.37,21.17,20.39,19.09,18.2,15.48,15.7,18.9,21.22,24.29,24.98,22.15,20.24
T2M,1996,21.05,20.87,20.02,18.24,17.38,14.47,14.38,17.01,21.25,23.16,25.75,22.11,19.63
T2M,1997,21.0,20.04,20.79,18.75,15.74,16.5,14.93,17.52,21.43,22.66,24.33,22.26,19.65
T2M,1998,22.02,22.4,22.26,20.89,19.38,16.83,16.46,18.64,21.61,23.85,24.46,22.64,20.94
T2M,1999,20.81,20.74,20.44,18.81,16.39,14.79,14.73,17.33,19.65,21.99,22.57,22.99,19.26
T2M,2000,22.05,21.16,20.61,19.9,18.16,16.49,15.73,17.2,21.47,23.48,22.14,21.76,20.01
T2M,2001,21.14,20.69,20.28,19.28,17.12,15.12,15.68,18.02,21.28,23.8,24.99,23.26,20.05
T2M,2002,21.25,21.03,20.71,19.24,17.57,15.65,17.57,18.21,21.04,24.33,24.73,22.94,20.35
T2M,2003,22.02,21.56,20.96,18.52,17.26,16.06,15.16,17.6,20.56,24.29,25.29,22.16,20.11
T2M,2004,21.81,20.88,21.03,19.49,16.49,15.59,15.71,18.52,21.53,23.68,22.95,21.21,19.9
T2M,2005,21.15,21.76,21.08,20.22,18.27,17.14,16.24,19.14,21.19,23.96,24.76,22.75,20.63
T2M,2006,21.06,21.69,20.68,19.11,17.46,15.51,15.24,17.97,19.91,24.46,24.17,22.42,19.96
T2M,2007,21.23,21.11,20.81,20.28,18.41,16.4,15.95,18.2,22.06,23.19,24.86,21.69,20.34
T2M,2008,20.76,20.59,19.72,18.73,17.75,15.13,15.87,18.06,21.93,24.71,25.23,21.79,20.02
T2M,2009,21.26,20.58,20.29,18.0,17.08,16.61,15.14,17.57,21.68,24.38,23.94,22.81,19.94
T2M,2010,22.37,21.15,21.01,20.91,19.11,16.42,16.3,17.13,21.01,24.88,25.01,21.04,20.52
T2M,2011,20.84,20.5,20.45,19.21,17.55,16.44,15.55,16.84,20.99,23.94,23.97,23.57,19.98
T2M,2012,20.97,21.24,20.71,18.31,17.16,16.44,15.39,19.29,22.27,24.83,24.77,22.46,20.31
T2M,2013,21.32,21.13,20.64,18.84,17.22,15.73,15.62,18.35,22.41,23.86,25.48,23.02,20.29
T2M,2014,20.98,20.83,20.66,19.24,17.37,15.89,16.08,18.33,20.53,23.84,25.58,23.55,20.23
T2M,2015,20.93,20.83,20.55,19.59,18.01,16.65,16.89,18.79,22.14,24.73,25.01,24.11,20.68
T2M,2016,22.45,22.34,22.28,20.21,17.15,16.04,16.5,19.02,21.67,24.8,25.55,23.24,20.93
T2M,2017,21.33,21.13,20.2,19.34,18.19,16.3,16.11,18.05,21.18,25.0,24.22,22.44,20.28
T2M,2018,22.35,21.48,20.99,19.41,18.53,16.09,15.69,18.4,22.19,22.65,23.77,22.01,20.29
T2M,2019,21.33,21.05,20.93,19.9,17.21,15.3,15.6,18.41,20.93,23.76,25.33,22.65,20.19
