-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2025 in LST
Location: Latitude  -13.1642   Longitude 33.9458 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1004.84 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
WS2M            MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR,1981,3.94,10.13,8.05,0.99,0.35,0.15,0.01,0.01,0.0,0.63,3.52,4.59,2.65
PRECTOTCORR,1982,12.36,17.27,2.2,7.29,0.76,0.16,0.07,0.48,0.03,3.27,6.01,7.37,4.69
PRECTOTCORR,1983,6.94,6.55,10.12,4.74,0.09,0.34,0.89,0.04,0.01,0.74,2.48,13.38,3.86
PRECTOTCORR,1984,8.47,9.23,9.25,3.84,0.98,0.38,0.09,0.02,0.16,0.08,8.27,12.97,4.47
PRECTOTCORR,1985,8.43,9.69,10.56,3.25,0.34,0.02,0.19,0.05,0.13,0.57,6.84,7.87,3.96
PRECTOTCORR,1986,12.08,10.93,6.56,4.33,0.81,0.04,0.01,0.01,0.13,1.93,3.97,14.62,4.59
PRECTOTCORR,1987,14.85,8.24,6.17,1.8,0.81,0.15,0.14,0.08,0.02,0.71,0.76,5.33,3.24
PRECTOTCORR,1988,11.07,8.7,11.53,3.07,0.41,0.23,0.04,0.01,0.01,1.05,2.34,4.58,3.58
PRECTOTCORR,1989,14.67,10.73,11.88,2.46,0.69,0.02,0.03,0.02,0.01,0.23,3.17,9.67,4.45
PRECTOTCORR,1990,12.3,9.1,2.34,2.49,1.01,0.03,0.03,0.02,0.05,0.06,3.88,3.94,2.9
PRECTOTCORR,1991,9.49,4.59,8.7,1.74,0.55,0.0,0.06,0.03,0.1,1.21,5.12,8.47,3.35
PRECTOTCORR,1992,7.4,5.68,10.01,0.8,1.43,0.09,0.04,0.01,0.0,0.04,2.44,6.31,2.86
PRECTOTCORR,1993,8.49,12.26,15.24,4.15,0.3,0.31,0.12,0.12,0.06,0.19,2.57,3.46,3.89
PRECTOTCORR,1994,10.87,11.2,2.94,0.96,0.01,0.0,0.01,0.05,0.01,1.01,0.82,4.68,2.67
PRECTOTCORR,1995,11.36,8.27,6.75,1.03,0.35,0.01,0.01,0.18,0.02,0.04,0.65,6.1,2.88
PRECTOTCORR,1996,10.62,9.26,7.33,1.03,1.08,0.23,0.13,0.0,0.08,0.41,0.59,9.79,3.38
PRECTOTCORR,1997,9.76,7.77,2.16,3.7,0.02,0.08,0.16,0.03,0.04,0.57,4.72,6.18,2.9
PRECTOTCORR,1998,5.91,5.08,2.54,1.6,0.06,0.03,0.01,0.09,0.13,0.64,2.88,6.63,2.12
PRECTOTCORR,1999,9.21,8.75,9.03,4.08,0.39,0.13,0.26,0.14,0.06,0.07,3.88,4.18,3.32
PRECTOTCORR,2000,4.0,6.21,5.87,1.9,0.02,0.06,0.08,0.08,0.0,0.67,5.14,7.33,2.6
PRECTOTCORR,2001,5.92,6.92,8.37,0.43,0.26,0.03,0.14,0.18,0.03,0.39,1.32,9.73,2.8
PRECTOTCORR,2002,6.85,7.03,6.54,1.69,0.04,0.4,0.0,0.2,0.41,0.09,1.24,6.98,2.6
PRECTOTCORR,2003,5.49,9.08,8.3,1.81,0.01,0.01,0.14,0.5,0.85,0.04,1.53,7.32,2.89
PRECTOTCORR,2004,9.29,6.74,5.47,3.01,0.11,0.06,0.04,0.05,0.1,0.63,4.58,12.02,3.51
PRECTOTCORR,2005,4.77,5.29,2.38,0.75,0.51,0.15,0.11,0.02,0.4,0.1,1.72,6.51,1.88
PRECTOTCORR,2006,9.5,5.64,6.1,3.07,0.36,0.09,0.05,0.14,0.0,0.39,2.85,7.01,2.93
