-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2025 in LST
Location: Latitude  -11.2918   Longitude 34.4697 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 526.62 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
RH2M        MERRA-2 Relative Humidity at 2 Meters (%) 
T2M         MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX     MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN     MERRA-2 Temperature at 2 Meters Minimum (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
RH2M,1981,60.94,67.21,70.14,67.15,65.83,57.6,56.54,53.18,49.84,51.25,48.21,61.41,59.08
RH2M,1982,65.03,69.15,70.28,70.02,68.38,66.54,61.03,56.03,50.97,54.36,58.94,67.0,63.11
RH2M,1983,69.97,68.92,71.47,70.36,68.83,62.19,59.23,57.12,49.7,49.67,46.75,60.38,61.2
RH2M,1984,69.02,70.85,70.28,70.2,67.55,67.16,61.01,51.47,46.69,48.11,57.72,67.46,62.27
RH2M,1985,64.46,70.77,67.82,71.11,66.26,61.63,57.03,55.11,50.01,49.28,57.78,67.42,61.5
RH2M,1986,70.4,65.26,70.62,70.87,67.9,60.32,55.02,51.26,49.29,49.06,55.71,69.13,61.23
RH2M,1987,70.98,67.19,70.54,66.24,65.73,57.43,56.01,57.63,50.74,51.24,47.79,57.23,59.88
RH2M,1988,67.42,68.14,67.09,66.98,63.75,63.44,56.89,53.36,48.18,46.46,56.42,59.92,59.8
RH2M,1989,69.76,69.77,72.47,72.15,70.21,65.73,59.06,56.58,51.09,48.92,53.3,67.03,62.98
RH2M,1990,68.51,72.53,65.94,66.84,63.38,56.03,53.23,53.59,49.71,45.94,50.9,57.66,58.61
RH2M,1991,68.84,66.57,70.66,71.98,67.04,58.8,57.03,52.56,46.0,48.6,53.69,67.35,60.75
RH2M,1992,65.16,61.3,68.55,65.93,65.38,59.03,55.79,53.34,48.47,46.68,52.67,60.97,58.61
RH2M,1993,69.23,71.75,74.53,71.79,63.77,58.3,56.37,54.86,50.06,47.17,52.01,53.18,60.18
RH2M,1994,68.11,70.58,67.0,65.93,58.92,55.41,56.67,55.19,48.59,49.34,48.73,63.23,58.93
RH2M,1995,69.1,66.82,69.98,68.88,63.77,56.56,54.51,55.2,47.94,47.48,47.2,62.77,59.17
RH2M,1996,69.55,72.1,72.33,69.81,69.08,60.51,55.9,51.28,49.69,48.56,45.13,61.73,60.45
RH2M,1997,65.21,71.44,70.83,72.24,65.91,64.96,60.28,53.85,51.22,52.72,53.78,68.34,62.51
RH2M,1998,71.22,66.94,67.77,66.93,54.37,54.37,54.54,55.59,52.05,49.96,50.49,55.35,58.25
RH2M,1999,67.75,67.27,73.95,73.03,68.93,63.25,61.92,57.92,53.45,50.43,54.78,55.52,62.32
RH2M,2000,62.7,63.75,69.43,70.12,61.35,57.96,58.22,56.28,49.05,47.99,61.6,66.53,60.4
RH2M,2001,68.61,68.68,72.41,67.97,62.99,57.47,55.84,53.34,47.4,49.46,46.39,56.36,58.87
RH2M,2002,69.81,68.72,71.08,68.92,61.63,59.97,55.7,56.06,52.16,47.87,58.84,65.26,61.29
RH2M,2003,67.11,69.45,68.79,69.61,64.73,59.13,61.11,51.17,53.45,48.13,49.24,66.24,60.64
RH2M,2004,69.07,68.19,70.25,69.88,66.12,63.75,58.1,54.27,51.08,50.53,57.08,73.69,62.66
RH2M,2005,70.54,69.25,68.13,64.8,60.43,57.92,57.53,52.18,50.62,48.0,46.08,57.19,58.51
RH2M,2006,66.53,68.96,72.16,71.31,65.01,61.91,58.32,54.41,51.86,49.15,57.77,70.49,62.29
RH2M,2007,69.41,70.73,69.15,69.83,67.12,58.99,60.02,55.36,50.59,55.1,52.56,67.22,62.15
RH2M,2008,69.79,69.86,70.71,69.14,64.25,58.32,55.47,55.27,47.73,48.73,54.36,67.57,60.92
RH2M,2009,66.47,70.72,73.74,70.67,63.17,57.28,59.34,55.42,49.27,49.16,59.66,63.88,61.52
RH2M,2010,69.15,71.8,73.48,69.33,65.78,62.44,59.19,55.81,50.41,45.65,49.36,64.37,61.35
RH2M,2011,66.82,73.46,71.97,71.21,67.43,61.07,54.8,54.63,51.4,51.17,53.5,62.52,61.59
RH2M,2012,69.29,68.13,70.18,69.46,64.13,62.52,53.29,54.14,48.84,48.39,53.66,63.52,60.44
RH2M,2013,70.02,69.9,71.04,68.33,64.66,56.98,58.96,53.1,47.1,50.69,50.34,63.05,60.32
RH2M,2014,71.5,71.39,72.33,71.7,64.42,60.27,57.82,53.54,52.09,51.12,51.48,61.54,61.55
RH2M,2015,69.6,70.09,70.8,68.23,63.59,60.16,57.48,52.49,50.43,49.64,56.34,64.78,61.09
RH2M,2016,70.78,70.11,68.4,69.81,63.82,60.68,57.96,53.41,49.39,47.23,49.1,61.61,60.17
RH2M,2017,68.3,68.79,72.74,72.32,65.5,61.76,56.74,56.94,48.89,48.28,53.75,67.7,61.78
RH2M,2018,70.46,69.88,71.88,69.14,67.2,61.66,59.54,54.02,53.16,54.26,53.81,69.34,62.84
RH2M,2019,69.75,72.59,71.18,71.14,66.61,62.36,56.68,53.78,52.28,51.34,54.59,68.5,62.51
RH2M,2020,72.28,70.68,74.7,69.39,65.82,64.56,62.96,55.1,52.1,52.9,55.21,65.79,63.45
RH2M,2021,70.28,69.81,74.37,71.99,62.76,62.08,61.57,57.38,55.86,53.41,49.23,53.08,61.77
RH2M,2022,71.6,72.37,72.95,70.93,65.41,64.81,62.22,57.74,52.48,46.6,50.97,67.06,62.89
RH2M,2023,69.62,67.78,71.71,72.43,64.63,58.79,59.63,57.54,52.04,49.35,54.15,64.77,61.85
RH2M,2024,72.4,70.75,71.09,70.42,67.41,62.91,50.17,52.53,50.48,53.5,50.71,56.46,60.7
RH2M,2025,65.13,64.81,70.32,69.44,71.27,65.21,61.41,52.72,48.38,48.12,59.56,62.15,61.53
T2M,1981,28.37,27.19,26.9,25.22,23.09,21.62,21.69,23.96,26.62,28.49,30.36,28.15,25.96
T2M,1982,27.68,26.96,26.66,25.93,23.36,22.41,22.07,23.79,26.14,28.13,28.58,27.59,25.77
T2M,1983,27.27,27.51,27.28,26.44,25.2,23.96,23.29,23.53,26.84,28.25,30.44,28.31,26.51
T2M,1984,26.37,26.52,26.35,25.35,24.12,21.83,22.15,23.55,27.18,28.82,28.23,26.98,25.62
T2M,1985,27.6,26.07,26.82,25.28,23.82,22.0,22.27,23.25,26.87,27.93,27.93,27.01,25.57
T2M,1986,26.3,27.2,26.42,25.9,23.98,21.51,21.84,23.84,26.17,29.13,28.99,27.04,25.68
T2M,1987,26.72,27.32,27.2,26.01,24.82,21.92,22.28,24.07,26.94,28.21,30.35,29.52,26.27
T2M,1988,27.72,27.43,27.6,27.02,24.21,23.59,23.46,24.55,27.04,29.58,28.06,28.57,26.57
T2M,1989,26.56,26.67,25.97,25.14,23.83,21.94,22.11,23.3,26.23,28.52,29.05,27.48,25.56
T2M,1990,26.91,26.59,26.92,26.83,25.32,23.99,23.21,23.83,26.05,28.86,29.73,29.11,26.44
T2M,1991,27.05,27.87,26.94,24.96,24.44,22.3,22.75,24.17,26.91,29.0,29.41,27.21,26.07
T2M,1992,27.76,28.64,27.55,26.89,25.43,23.6,22.27,23.19,26.68,28.77,28.89,28.36,26.49
T2M,1993,26.84,26.53,25.93,26.22,25.04,22.29,22.01,23.6,26.18,28.75,29.9,29.92,26.1
T2M,1994,27.32,26.52,27.01,26.13,24.92,23.21,22.57,24.1,26.63,28.77,29.89,28.06,26.26
T2M,1995,27.1,27.27,26.75,25.8,24.9,22.66,22.95,24.95,26.84,28.94,29.78,27.96,26.32
T2M,1996,26.91,26.68,26.39,25.17,24.44,22.21,22.05,24.02,27.15,28.41,30.53,28.2,26.01
T2M,1997,27.77,26.45,26.97,25.35,23.19,23.44,22.1,24.39,27.34,28.31,29.86,27.76,26.07
T2M,1998,27.78,28.39,28.58,26.86,26.25,23.74,23.09,24.39,27.11,28.91,29.64,29.75,27.03
T2M,1999,27.13,27.53,26.19,25.27,23.84,22.47,22.05,24.21,26.31,27.75,28.71,29.05,25.86
T2M,2000,28.14,27.93,26.75,26.15,24.91,23.79,22.34,23.74,27.13,29.14,28.24,27.83,26.33
T2M,2001,26.78,27.13,26.36,26.22,24.77,23.28,23.06,24.79,27.37,28.9,30.6,29.77,26.58
T2M,2002,26.79,27.14,26.7,25.86,24.33,22.61,24.34,24.54,27.16,29.56,28.62,28.0,26.3
T2M,2003,27.86,27.71,27.6,25.51,24.62,23.54,22.23,24.46,26.97,29.35,30.74,28.07,26.54
T2M,2004,27.73,27.33,27.28,26.13,23.41,22.46,22.63,25.02,27.44,29.41,29.14,26.47,26.2
T2M,2005,27.1,27.68,27.42,26.72,25.28,24.4,22.91,25.13,26.89,29.21,30.87,29.63,26.93
T2M,2006,27.65,27.5,26.71,25.66,24.92,22.81,22.8,25.03,26.25,29.7,29.02,27.13,26.26
T2M,2007,27.46,27.2,27.04,26.59,24.86,23.29,22.63,24.49,27.47,28.12,30.05,27.38,26.37
T2M,2008,26.73,26.31,25.94,25.48,24.42,22.24,22.65,24.38,27.4,29.58,29.95,27.38,26.03
T2M,2009,27.69,26.4,26.25,24.68,24.6,24.35,21.96,24.24,27.53,29.52,28.93,28.2,26.19
T2M,2010,27.44,27.12,26.8,26.99,25.61,23.14,23.06,23.36,26.65,29.6,30.38,27.78,26.49
T2M,2011,27.38,25.74,26.35,25.83,24.73,23.92,22.92,23.94,26.74,28.99,30.05,28.78,26.28
T2M,2012,27.0,27.26,26.77,24.93,24.31,23.11,22.82,25.46,27.86,29.61,29.76,28.43,26.44
T2M,2013,27.37,27.02,26.91,25.77,24.53,23.36,22.57,24.7,27.91,28.92,30.43,28.49,26.49
T2M,2014,26.81,26.76,26.64,25.91,24.95,23.83,23.49,25.44,26.43,28.76,29.95,29.03,26.5
T2M,2015,27.29,27.23,26.64,26.25,24.96,23.57,23.84,25.12,27.55,29.66,29.14,28.69,26.66
T2M,2016,27.51,27.92,28.41,26.39,23.65,23.01,22.96,24.95,26.9,29.34,30.38,28.84,26.68
T2M,2017,27.29,27.36,26.14,25.68,25.36,23.91,23.6,24.74,27.28,29.84,29.83,27.78,26.56
