-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2025 in LST
Location: Latitude  -10.9738   Longitude 33.8993 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1299.62 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
WS2M            MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR,1981,5.31,13.97,8.59,3.37,1.22,0.11,0.1,0.24,0.09,0.87,3.03,4.75,3.4
PRECTOTCORR,1982,8.06,15.81,7.86,6.79,4.61,1.05,0.09,0.1,0.02,1.55,7.97,10.24,5.28
PRECTOTCORR,1983,10.34,4.56,7.59,6.44,0.79,0.42,1.42,0.1,0.02,1.06,0.91,9.9,3.64
PRECTOTCORR,1984,18.69,8.24,11.08,6.61,4.32,2.1,0.2,0.03,0.02,0.29,5.49,11.68,5.74
PRECTOTCORR,1985,8.76,9.21,8.05,18.36,2.14,0.24,0.48,0.11,0.21,1.7,6.04,9.09,5.32
PRECTOTCORR,1986,13.24,7.18,8.71,8.74,0.89,1.01,0.08,0.0,0.1,1.93,5.14,13.2,5.01
PRECTOTCORR,1987,12.56,11.07,8.23,4.5,1.28,0.32,0.12,0.13,0.1,1.51,1.08,6.53,3.92
PRECTOTCORR,1988,11.93,7.88,10.47,3.54,0.42,2.66,0.0,0.05,0.0,0.82,3.7,5.39,3.9
PRECTOTCORR,1989,10.86,10.94,10.48,9.68,1.9,0.29,0.87,0.0,0.01,0.18,4.88,7.43,4.75
PRECTOTCORR,1990,9.83,9.21,4.76,5.02,2.56,0.2,0.16,0.07,0.06,0.55,2.57,3.62,3.18
PRECTOTCORR,1991,10.37,6.26,11.17,6.6,0.4,0.05,0.1,0.25,0.0,0.88,3.61,5.47,3.76
PRECTOTCORR,1992,6.86,3.47,6.19,2.68,1.99,0.64,0.16,0.15,0.0,0.12,4.45,6.43,2.77
PRECTOTCORR,1993,7.82,12.4,11.55,5.94,0.96,0.76,0.37,0.19,0.0,0.04,2.27,1.82,3.62
PRECTOTCORR,1994,13.13,11.59,5.21,1.53,0.15,0.05,0.11,0.23,0.03,0.77,3.09,5.89,3.44
PRECTOTCORR,1995,7.81,11.46,8.67,2.37,1.95,0.1,0.0,0.49,0.15,0.31,0.49,5.62,3.25
PRECTOTCORR,1996,10.58,13.13,8.12,2.46,2.09,0.2,0.02,0.0,0.21,0.27,0.6,11.06,4.05
PRECTOTCORR,1997,5.75,8.07,4.26,10.1,0.41,0.52,1.28,0.0,0.0,0.43,2.61,7.37,3.36
PRECTOTCORR,1998,6.01,3.63,3.48,3.7,0.12,0.03,0.02,0.38,0.27,0.84,1.9,3.04,1.94
PRECTOTCORR,1999,9.4,4.39,10.3,10.25,1.05,0.42,0.73,0.21,0.17,0.25,2.38,3.56,3.59
PRECTOTCORR,2000,3.56,4.8,8.05,2.06,0.2,0.2,0.11,0.02,0.0,0.22,4.75,5.83,2.48
PRECTOTCORR,2001,6.6,3.42,6.44,2.13,1.32,0.19,0.28,0.2,0.03,0.52,0.65,5.35,2.27
PRECTOTCORR,2002,6.61,5.96,5.83,4.09,0.06,1.77,0.01,0.37,0.27,0.06,5.13,4.47,2.86
PRECTOTCORR,2003,4.11,5.28,6.34,2.61,0.1,0.09,0.64,0.02,2.4,0.43,2.23,9.49,2.8
PRECTOTCORR,2004,5.67,5.87,4.02,7.2,0.59,0.48,0.32,0.01,0.02,0.19,3.51,10.06,3.15
PRECTOTCORR,2005,6.43,6.61,4.43,1.04,0.46,0.46,1.07,0.0,0.2,0.08,0.62,3.18,2.03
PRECTOTCORR,2006,4.71,5.53,14.37,11.43,1.8,0.26,0.25,0.07,0.0,0.36,3.25,10.08,4.34
PRECTOTCORR,2007,11.85,9.15,6.09,2.82,0.28,0.88,0.81,0.08,0.03,3.54,2.86,10.08,4.02
PRECTOTCORR,2008,8.66,8.05,4.06,4.83,0.74,0.15,0.32,0.14,0.0,0.41,3.2,8.25,3.22
PRECTOTCORR,2009,7.89,8.83,8.0,4.03,0.2,0.05,0.14,0.02,0.03,0.06,4.37,7.44,3.39
PRECTOTCORR,2010,8.53,8.92,6.71,2.74,1.08,0.69,0.1,0.27,0.0,0.0,2.05,7.46,3.19
PRECTOTCORR,2011,8.46,9.06,10.69,5.42,0.46,0.06,0.01,0.02,0.02,2.38,2.01,4.38,3.55
PRECTOTCORR,2012,10.15,3.4,9.48,3.74,1.53,0.94,0.02,0.1,0.0,0.97,2.62,7.0,3.35
PRECTOTCORR,2013,8.09,7.45,5.99,4.64,0.41,0.16,0.77,0.12,0.06,0.76,2.33,9.53,3.34
PRECTOTCORR,2014,13.59,14.41,6.91,3.62,0.2,0.02,0.06,0.27,0.04,0.51,2.07,5.98,3.92
PRECTOTCORR,2015,11.66,3.95,3.71,5.15,0.17,0.04,0.0,0.02,0.01,0.44,3.58,8.09,3.07
PRECTOTCORR,2016,13.86,6.84,4.97,12.32,0.77,0.19,0.07,0.09,0.0,0.05,0.59,5.92,3.8
PRECTOTCORR,2017,9.88,14.0,8.74,4.88,0.66,0.05,0.31,0.51,0.03,0.33,5.68,9.21,4.47
PRECTOTCORR,2018,12.6,9.22,6.2,3.63,0.89,0.66,0.14,0.0,0.18,1.74,4.26,10.08,4.11
PRECTOTCORR,2019,10.26,9.63,6.96,2.39,0.88,0.06,0.02,0.13,0.13,1.14,4.41,11.36,3.92
PRECTOTCORR,2020,10.61,10.37,16.82,1.58,4.5,0.59,0.47,0.04,0.06,0.6,3.67,10.69,5.01
PRECTOTCORR,2021,14.52,10.84,6.42,3.28,0.12,0.1,1.64,0.64,0.0,1.19,0.35,1.75,3.37
PRECTOTCORR,2022,20.67,13.12,8.94,5.69,0.11,0.25,0.38,0.4,0.05,0.0,1.84,9.52,5.05
PRECTOTCORR,2023,11.0,7.92,9.18,6.05,0.36,0.13,0.04,0.24,0.01,0.9,1.46,6.67,3.65
PRECTOTCORR,2024,10.15,9.17,7.21,4.46,2.5,1.04,0.0,0.05,0.24,1.85,0.75,1.73,3.25
PRECTOTCORR,2025,5.96,9.51,7.17,7.48,6.98,0.86,0.61,0.0,0.0,0.09,3.89,16.92,4.94
WS2M,1981,2.56,1.34,2.69,2.64,2.5,2.39,2.61,3.16,3.63,4.24,3.84,3.11,2.9
WS2M,1982,1.46,1.33,2.17,3.02,2.96,2.9,3.06,3.31,3.7,4.41,3.34,2.14,2.82
WS2M,1983,1.94,1.64,2.68,3.08,3.34,2.86,2.99,3.07,3.84,3.9,3.49,2.2,2.93
WS2M,1984,1.37,1.31,2.82,3.27,3.13,2.97,2.85,2.81,3.55,4.28,3.87,2.18,2.87
WS2M,1985,2.03,1.92,2.66,2.82,2.78,2.17,2.74,3.43,3.4,3.91,3.27,2.74,2.83
WS2M,1986,2.29,1.5,2.51,3.36,3.01,2.52,2.8,2.94,3.74,3.8,3.83,2.29,2.89
WS2M,1987,1.6,1.64,1.7,2.48,3.17,2.29,2.62,3.67,3.53,3.84,3.88,2.63,2.76
WS2M,1988,1.99,1.74,1.8,2.98,2.56,2.79,2.65,3.1,3.78,4.01,3.83,3.47,2.89
WS2M,1989,2.21,1.35,2.08,3.19,3.06,2.8,2.98,3.46,3.51,3.94,3.53,1.81,2.83
WS2M,1990,1.98,1.76,2.55,2.79,2.92,2.63,2.93,3.28,3.73,4.05,4.11,3.07,2.99
WS2M,1991,2.13,1.48,2.51,2.87,2.94,2.23,3.11,3.13,3.75,3.84,3.94,2.33,2.86
WS2M,1992,1.96,1.32,2.34,3.02,3.11,2.72,3.17,3.48,3.92,3.98,3.7,2.78,2.96
WS2M,1993,2.27,1.29,1.81,3.26,2.62,2.66,3.07,3.36,3.87,4.31,3.78,3.62,3.0
WS2M,1994,1.35,1.8,1.65,3.0,2.92,2.55,3.05,3.42,3.85,4.1,3.96,3.34,2.92
WS2M,1995,1.6,1.32,2.4,3.32,2.99,2.34,2.86,3.58,3.75,4.28,4.02,3.0,2.96
WS2M,1996,1.61,1.65,1.99,3.19,3.27,2.55,2.69,2.92,3.5,4.11,4.08,2.09,2.8
WS2M,1997,1.87,1.47,3.03,2.83,2.37,2.99,3.2,3.15,4.01,4.62,3.39,2.76,2.98
WS2M,1998,1.81,1.55,2.67,2.99,2.5,2.77,3.1,3.58,4.14,4.24,4.22,2.87,3.04
WS2M,1999,1.7,1.55,1.76,3.24,2.99,2.85,3.25,3.41,4.03,4.22,3.79,3.22,3.01
WS2M,2000,2.02,1.73,2.26,3.1,3.02,3.2,3.01,3.38,3.86,4.08,2.59,2.17,2.87
