-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2025 in LST
Location: Latitude  -16.0057   Longitude 35.5007 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 895.46 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
RH2M        MERRA-2 Relative Humidity at 2 Meters (%) 
T2M         MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX     MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN     MERRA-2 Temperature at 2 Meters Minimum (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
RH2M,1981,82.14,88.69,88.28,86.68,84.52,76.02,75.56,71.4,65.03,63.43,57.96,73.4,76.04
RH2M,1982,85.72,89.88,86.87,85.29,80.32,76.51,75.07,68.35,64.5,64.62,68.47,77.63,76.86
RH2M,1983,79.17,86.43,87.06,79.7,76.56,71.05,71.06,71.57,53.93,60.26,65.32,83.37,73.76
RH2M,1984,84.89,89.44,89.15,87.18,85.05,83.65,76.53,69.57,55.69,54.48,76.36,82.84,77.86
RH2M,1985,86.52,89.71,87.64,87.58,82.83,75.83,73.97,70.07,64.39,63.01,67.32,85.16,77.78
RH2M,1986,89.8,88.7,86.94,88.18,81.82,76.39,72.82,60.44,53.99,62.05,76.61,84.1,76.76
RH2M,1987,87.32,86.59,85.17,83.24,81.13,75.78,71.92,67.18,55.49,58.52,51.99,76.13,73.34
RH2M,1988,82.32,87.57,88.51,85.88,84.55,77.7,75.65,67.85,54.51,56.18,73.26,77.82,75.95
RH2M,1989,82.61,90.95,88.84,87.92,78.35,75.13,68.56,63.04,57.25,53.29,61.86,83.26,74.16
RH2M,1990,86.52,86.27,77.34,74.61,78.73,72.35,63.67,63.44,60.11,48.91,53.02,67.7,69.3
RH2M,1991,82.52,86.67,88.65,88.3,79.57,74.28,69.9,59.83,46.39,61.0,71.71,78.92,73.92
RH2M,1992,80.31,72.01,73.49,67.86,60.53,67.69,68.45,61.05,48.44,46.7,61.69,74.85,65.26
RH2M,1993,86.2,86.32,85.51,80.69,69.89,68.88,67.16,59.76,52.88,55.48,65.62,71.81,70.76
RH2M,1994,80.39,84.04,81.82,76.63,66.58,69.73,68.81,63.05,55.3,57.35,47.53,73.11,68.64
RH2M,1995,87.19,87.4,87.28,83.6,79.91,74.24,71.14,63.99,50.8,45.01,59.14,79.06,72.33
RH2M,1996,85.64,89.72,89.93,87.75,83.5,77.26,74.51,68.41,56.43,49.98,51.7,79.09,74.48
RH2M,1997,88.1,92.12,89.3,86.12,79.35,75.48,77.15,62.86,60.14,66.59,61.59,80.57,76.55
RH2M,1998,87.92,85.3,80.32,70.97,57.21,62.8,63.27,74.58,61.88,56.16,64.42,77.32,70.11
RH2M,1999,89.52,90.41,90.25,89.22,84.35,80.91,79.75,74.43,66.62,59.44,71.48,71.07,78.88
RH2M,2000,75.94,83.99,81.47,82.43,73.75,76.33,73.58,65.73,49.91,57.37,73.51,79.83,72.78
RH2M,2001,83.77,89.14,88.92,85.59,79.34,72.04,65.87,57.61,50.93,49.55,53.46,73.71,70.74
