-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2025 in LST
Location: Latitude  -15.6039   Longitude 35.2192 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 663.97 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
WS2M            MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR,1981,5.42,13.18,5.63,1.66,0.67,0.52,0.78,0.2,0.38,0.75,4.15,3.79,3.03
PRECTOTCORR,1982,12.23,17.13,1.75,3.36,0.69,0.38,1.0,0.46,0.39,2.59,3.71,5.99,4.06
PRECTOTCORR,1983,3.45,5.75,3.74,0.83,0.5,0.32,1.16,0.45,0.01,3.3,3.02,11.67,2.85
PRECTOTCORR,1984,11.43,13.14,12.82,1.18,1.05,0.65,0.22,0.19,0.08,1.08,8.08,8.82,4.88
PRECTOTCORR,1985,11.68,8.59,6.79,3.07,0.43,0.36,0.29,0.38,1.04,1.61,3.35,9.69,3.92
PRECTOTCORR,1986,16.8,9.85,5.46,3.12,0.17,0.49,0.24,0.01,0.19,2.74,6.17,9.33,4.53
PRECTOTCORR,1987,10.87,5.36,5.72,0.84,0.54,1.74,0.08,0.28,0.06,0.7,0.44,6.76,2.78
PRECTOTCORR,1988,9.4,7.29,6.33,1.7,1.85,0.17,0.87,0.26,0.06,2.15,4.01,4.78,3.24
PRECTOTCORR,1989,10.9,13.18,8.27,1.27,0.26,0.04,0.11,0.33,0.17,0.52,5.94,8.83,4.1
PRECTOTCORR,1990,9.69,3.46,1.96,1.09,1.19,0.38,0.08,0.31,0.46,0.11,3.39,3.86,2.16
PRECTOTCORR,1991,7.3,7.6,8.38,1.13,0.48,0.12,0.33,0.14,0.58,1.21,5.35,4.74,3.09
PRECTOTCORR,1992,7.65,1.22,2.71,0.69,0.18,0.54,0.27,0.15,0.0,0.03,3.04,5.12,1.81
PRECTOTCORR,1993,7.3,7.97,2.39,2.12,0.19,0.54,0.12,0.21,0.32,0.8,4.12,3.23,2.4
PRECTOTCORR,1994,7.06,5.99,2.35,0.59,0.04,0.24,0.15,1.03,0.22,1.76,0.61,7.04,2.25
PRECTOTCORR,1995,10.05,5.59,2.2,1.12,0.59,0.26,0.32,0.22,0.01,0.37,2.84,10.43,2.83
PRECTOTCORR,1996,9.6,7.03,5.39,0.82,1.59,1.3,1.11,0.04,0.02,0.26,1.3,12.79,3.45
PRECTOTCORR,1997,12.74,14.83,2.13,3.68,0.15,0.12,0.65,0.11,0.4,1.94,2.22,5.41,3.63
PRECTOTCORR,1998,5.75,3.54,2.88,0.4,0.09,0.24,0.43,0.85,0.06,0.56,3.28,9.31,2.29
PRECTOTCORR,1999,16.04,7.33,5.54,2.55,0.21,0.46,0.69,0.35,0.5,0.83,3.5,2.96,3.4
PRECTOTCORR,2000,4.94,4.85,4.51,3.06,0.71,0.53,0.69,0.11,0.04,1.92,5.69,7.6,2.88
PRECTOTCORR,2001,4.75,9.28,6.25,0.5,0.99,0.05,0.97,0.7,0.35,0.25,3.28,8.53,2.96
PRECTOTCORR,2002,7.29,6.83,3.73,1.78,0.1,0.33,0.09,0.26,1.16,0.77,1.98,3.07,2.26
PRECTOTCORR,2003,10.16,6.18,8.79,0.76,0.58,0.96,0.45,0.21,0.24,0.62,1.93,3.95,2.9
PRECTOTCORR,2004,9.73,6.04,3.97,3.65,1.03,0.87,0.2,0.35,0.48,1.34,3.7,8.36,3.31
PRECTOTCORR,2005,6.65,2.94,2.94,0.58,0.71,0.71,0.51,0.0,2.9,0.08,3.17,6.58,2.31
PRECTOTCORR,2006,9.46,5.73,7.18,1.61,0.8,0.33,0.08,0.06,0.1,0.6,2.98,3.77,2.72
PRECTOTCORR,2007,14.51,4.65,3.95,1.81,0.52,0.42,0.34,0.04,0.02,0.64,3.07,9.5,3.3
PRECTOTCORR,2008,11.53,2.94,5.99,0.16,0.39,0.19,0.25,0.2,0.19,0.18,1.79,5.9,2.49
PRECTOTCORR,2009,7.5,5.2,6.0,1.52,0.59,0.26,0.95,0.17,0.03,0.2,3.25,3.44,2.42
PRECTOTCORR,2010,5.32,11.04,3.55,1.14,1.74,0.95,2.21,0.67,0.03,0.02,4.19,14.99,3.79
PRECTOTCORR,2011,6.98,2.52,5.42,2.79,0.33,0.19,1.39,0.05,0.09,1.37,3.94,4.48,2.47
PRECTOTCORR,2012,11.14,4.89,4.35,2.53,0.09,0.66,0.12,0.06,0.07,0.56,0.96,9.31,2.9
PRECTOTCORR,2013,13.35,10.78,4.32,1.73,0.99,0.49,0.47,0.19,0.19,1.2,0.99,4.72,3.25
PRECTOTCORR,2014,10.0,8.13,2.36,2.22,0.6,0.3,0.27,0.33,0.57,0.11,1.99,6.03,2.71
PRECTOTCORR,2015,20.17,8.99,8.11,1.57,0.15,0.07,0.15,0.0,0.18,0.45,2.49,5.85,4.01
PRECTOTCORR,2016,5.53,14.1,6.89,1.95,0.55,0.55,0.94,0.06,0.0,0.04,1.33,7.75,3.27
PRECTOTCORR,2017,18.24,10.5,8.6,1.2,0.59,0.46,0.48,0.18,0.02,0.25,3.28,15.51,4.94
PRECTOTCORR,2018,4.47,12.42,5.6,4.32,0.35,0.09,4.77,0.04,0.16,0.66,5.08,10.99,4.03
PRECTOTCORR,2019,12.16,7.07,15.01,1.74,0.7,1.21,0.33,0.13,0.29,1.07,6.96,9.46,4.68
PRECTOTCORR,2020,13.0,18.7,1.98,0.84,0.13,1.17,1.37,0.24,0.14,0.36,0.6,7.5,3.79
PRECTOTCORR,2021,13.27,9.48,8.23,1.74,0.43,0.73,0.86,0.14,0.36,0.43,3.79,4.55,3.64
PRECTOTCORR,2022,19.57,15.22,5.73,5.18,0.22,3.63,0.7,0.88,0.03,0.16,2.87,19.89,6.13
PRECTOTCORR,2023,12.66,28.52,5.66,1.1,0.01,0.1,0.57,0.69,0.23,1.6,4.97,5.9,5.01
PRECTOTCORR,2024,13.11,5.45,11.23,2.56,1.06,2.08,0.0,1.07,0.57,1.72,4.66,3.47,3.92
PRECTOTCORR,2025,14.41,16.58,3.43,3.96,3.92,0.65,0.77,0.12,0.09,0.37,4.83,11.31,4.97
WS2M,1981,1.87,1.41,1.69,1.82,1.64,1.6,1.78,2.23,2.89,3.03,2.74,2.23,2.08
WS2M,1982,1.59,1.63,1.8,1.59,1.49,1.53,1.98,1.92,2.4,2.96,2.16,1.7,1.9
WS2M,1983,1.78,1.64,1.87,1.68,2.03,1.64,1.81,2.45,2.93,3.02,2.63,1.71,2.1
WS2M,1984,1.49,1.53,1.73,1.77,1.78,1.62,1.47,1.85,2.46,3.5,2.34,2.09,1.97
WS2M,1985,1.65,1.99,1.62,1.88,1.56,1.38,1.69,2.27,2.54,3.22,2.64,1.95,2.03
WS2M,1986,1.55,1.51,1.64,1.77,1.41,1.47,1.64,1.97,2.69,2.41,2.37,1.88,1.86
WS2M,1987,1.55,1.48,1.21,1.44,1.68,1.9,1.63,2.33,3.07,3.01,3.26,2.12,2.06
WS2M,1988,1.51,1.43,1.6,1.77,1.63,1.65,1.74,2.17,2.78,3.16,2.71,2.2,2.03
WS2M,1989,1.86,1.74,2.01,1.97,1.43,1.82,1.92,2.48,3.05,3.14,2.71,2.05,2.18
WS2M,1990,1.76,1.57,1.55,1.66,1.82,1.71,1.83,2.25,3.04,3.38,3.18,2.23,2.17
WS2M,1991,1.73,1.41,1.9,2.0,1.54,1.8,2.13,2.12,2.97,2.62,2.45,1.86,2.05
WS2M,1992,1.54,1.66,1.84,1.77,1.68,1.84,2.13,2.45,2.66,3.54,2.87,2.45,2.2
WS2M,1993,1.84,1.37,1.53,1.46,1.49,1.68,1.95,2.33,2.58,2.98,2.61,2.24,2.01
WS2M,1994,1.64,1.75,1.96,1.95,1.74,1.98,2.4,2.35,2.76,2.97,3.16,2.25,2.24
WS2M,1995,1.71,1.64,1.72,2.09,1.99,1.76,1.98,2.39,2.66,3.78,2.64,1.83,2.19
WS2M,1996,1.73,1.98,1.95,1.89,1.48,1.65,1.9,2.1,2.67,3.34,3.15,1.69,2.13
WS2M,1997,1.52,2.07,1.85,1.65,1.67,1.5,1.99,1.9,2.48,3.01,2.78,2.04,2.04
WS2M,1998,1.87,2.03,1.75,2.08,1.73,1.83,2.04,2.59,2.98,3.17,3.22,1.82,2.26
WS2M,1999,1.38,2.23,1.91,2.12,1.44,1.57,1.83,2.11,2.94,2.91,2.47,2.37,2.1
WS2M,2000,1.59,1.73,1.55,1.87,1.89,1.84,2.2,2.25,2.72,2.97,2.15,1.66,2.04
WS2M,2001,2.14,1.56,1.49,1.78,1.64,1.53,1.94,2.44,2.68,2.71,2.73,1.85,2.04
WS2M,2002,1.68,1.66,1.74,1.6,1.72,1.85,1.95,2.5,2.85,2.98,2.91,1.9,2.11
WS2M,2003,1.89,1.41,1.61,1.81,1.71,1.68,1.99,2.07,2.87,3.12,2.69,1.98,2.07
WS2M,2004,1.81,1.67,1.84,1.99,1.83,1.83,2.07,2.11,2.76,2.88,2.35,2.08,2.1
WS2M,2005,1.74,1.59,1.88,1.88,1.62,1.62,1.91,2.4,3.06,2.67,2.69,1.73,2.07
WS2M,2006,1.59,1.26,1.67,1.69,1.65,1.8,1.77,2.09,2.83,3.06,2.76,1.91,2.01
WS2M,2007,1.8,1.8,1.56,1.71,1.83,1.78,1.99,2.24,2.85,3.15,2.48,1.74,2.08
WS2M,2008,1.43,1.63,1.65,1.58,1.47,1.72,1.8,2.32,2.58,3.01,2.67,1.86,1.98
WS2M,2009,1.2,1.61,1.66,1.99,1.66,1.5,2.15,2.13,2.73,3.13,2.49,1.66,1.99
WS2M,2010,1.75,1.52,1.57,1.85,1.74,1.92,1.91,2.11,2.69,3.01,2.8,1.47,2.03
WS2M,2011,1.49,2.03,1.52,1.51,1.44,1.54,1.87,2.11,2.68,2.91,2.44,1.9,1.95
WS2M,2012,1.69,1.31,1.45,2.04,1.51,1.81,1.71,2.06,2.88,3.12,2.69,1.73,2.0
WS2M,2013,2.22,1.72,1.65,1.79,1.47,1.58,1.89,2.14,2.72,3.0,2.86,2.1,2.1
WS2M,2014,1.55,1.85,1.83,1.8,1.51,1.85,1.89,2.03,2.76,2.98,2.84,1.86,2.06
WS2M,2015,2.17,1.77,1.74,1.4,1.24,1.51,1.62,1.89,2.66,2.98,3.21,1.8,2.0
WS2M,2016,1.88,1.52,1.45,1.76,1.75,1.66,2.05,2.26,2.84,3.1,2.71,1.9,2.07
WS2M,2017,1.7,1.4,1.79,1.6,1.4,1.42,1.65,2.0,2.4,3.22,2.57,1.93,1.93
WS2M,2018,1.89,1.82,1.56,1.59,1.39,1.62,2.02,2.33,3.14,2.81,2.69,1.62,2.04
WS2M,2019,1.75,1.62,2.23,1.58,1.45,1.63,1.53,2.09,2.48,3.03,2.41,1.88,1.98
WS2M,2020,1.59,1.83,1.6,1.7,1.57,1.73,2.21,1.98,2.64,2.78,3.0,1.77,2.03
WS2M,2021,1.59,1.39,1.6,1.58,1.57,1.58,1.94,2.01,2.74,2.95,2.6,2.6,2.02
WS2M,2022,2.16,1.46,1.81,1.62,1.33,1.94,1.73,1.98,2.5,2.89,2.4,1.7,1.96
WS2M,2023,1.4,1.85,1.83,1.45,1.21,1.41,1.77,2.19,2.66,2.79,2.5,2.23,1.94
WS2M,2024,1.89,1.68,1.62,1.6,1.63,1.78,1.43,1.99,2.65,2.85,2.38,2.07,1.96
WS2M,2025,1.66,1.25,1.94,1.36,1.84,1.49,1.68,1.81,2.14,2.84,2.1,2.09,1.86
