YEAR,humidity,tavg,tmax,tmin,district,rainfall,wind,yield
1981,67.92,20.15,36.8,4.5,Kasungu,2.65,2.49,
1982,75.58,19.67,34.35,5.16,Kasungu,4.69,2.38,
1983,68.67,21.14,36.77,6.88,Kasungu,3.86,2.35,
1984,73.49,19.85,33.79,6.99,Kasungu,4.47,2.37,1440.954043048284
1985,75.35,19.36,35.95,4.44,Kasungu,3.96,2.4,1433.9622641509434
1986,73.16,19.69,35.3,5.65,Kasungu,4.59,2.36,1300.0
1987,68.92,20.63,35.93,5.85,Kasungu,3.24,2.31,1110.8133086876155
1988,71.18,20.53,35.07,7.16,Kasungu,3.58,2.46,
1989,74.86,19.74,35.67,6.48,Kasungu,4.45,2.42,1317.1246470802
1990,67.01,20.7,36.46,7.76,Kasungu,2.9,2.48,1317.8405478112008
1991,66.89,20.72,34.51,6.34,Kasungu,3.35,2.39,1275.4702991018573
1992,62.21,21.43,35.1,7.79,Kasungu,2.86,2.41,830.08658008658
1993,71.98,20.16,36.06,5.82,Kasungu,3.89,2.39,2238.3619965268053
1994,63.56,20.93,37.55,6.19,Kasungu,2.67,2.48,1163.9425067528935
1995,63.07,21.27,36.98,6.98,Kasungu,2.88,2.49,1603.935324129652
1996,68.96,20.49,35.68,5.82,Kasungu,3.38,2.41,1970.0402106813162
1997,72.43,20.43,36.82,7.27,Kasungu,2.9,2.52,1893.4318587193006
1998,59.99,22.05,35.87,8.08,Kasungu,2.12,2.63,2019.7932110056413
1999,72.58,20.2,35.53,5.45,Kasungu,3.32,2.56,2158.4474005526636
2000,67.52,20.91,34.78,8.24,Kasungu,2.6,2.46,2199.9021526418783
2001,66.35,20.99,35.43,6.36,Kasungu,2.8,2.39,1464.7374090673334
2002,65.77,21.28,35.95,6.13,Kasungu,2.6,2.42,1473.088491372487
2003,66.91,21.14,36.37,7.41,Kasungu,2.89,2.25,1657.5042568718072
2004,69.58,20.87,36.17,7.98,Kasungu,3.51,2.4,878.818921361856
2005,62.54,21.61,36.39,7.91,Kasungu,1.88,2.38,957.6611160104443
2006,68.63,20.91,36.65,6.73,Kasungu,2.93,2.31,852.6992853216053
2007,68.81,20.98,36.25,7.0,Kasungu,2.77,2.36,2156.0697233643696
2008,65.31,20.93,36.21,6.61,Kasungu,2.56,2.29,2281.399673769623
2009,69.7,20.62,34.83,7.42,Kasungu,2.83,2.23,2496.7491062655486
2010,66.81,21.44,36.61,7.58,Kasungu,3.25,2.4,2501.701012786924
2011,68.43,20.81,38.14,6.81,Kasungu,2.61,2.16,2665.1707852397653
2012,66.35,21.21,36.41,5.95,Kasungu,3.07,2.22,2367.601127083433
2013,65.2,21.28,36.76,8.17,Kasungu,3.37,2.31,2176.8509885486146
2014,70.15,20.81,37.91,6.65,Kasungu,3.68,2.29,2384.0938306997487
2015,65.73,21.6,38.07,8.2,Kasungu,1.75,2.37,1747.1785321636114
2016,62.25,22.04,36.69,8.43,Kasungu,2.27,2.4,1401.1158420202614
2017,67.81,21.39,38.44,8.73,Kasungu,2.7,2.42,2102.1438833020225
2018,69.74,21.0,36.11,6.06,Kasungu,3.36,2.39,1772.4473988666
2019,71.8,20.96,37.69,6.59,Kasungu,3.62,2.32,2213.867263526664
2020,70.76,21.01,36.09,6.92,Kasungu,3.93,2.33,2475.990470706455
2021,70.47,20.82,36.83,7.06,Kasungu,3.07,2.39,3429.7818748821987
2022,74.59,20.22,35.4,7.54,Kasungu,4.48,2.23,2919.750777679459
2023,72.25,21.14,37.06,7.02,Kasungu,3.3,2.26,3159.9615869147683
2024,66.93,21.64,35.9,6.79,Kasungu,4.22,2.29,
2025,67.29,21.54,36.46,7.21,Kasungu,2.89,2.42,
1981,71.56,19.1,35.71,4.32,Lilongwe,2.65,2.49,
1982,76.71,18.89,32.85,4.88,Lilongwe,4.69,2.38,
1983,71.51,20.17,35.51,6.13,Lilongwe,3.86,2.35,
1984,76.08,19.01,32.78,6.58,Lilongwe,4.47,2.37,1126.1794338717414
1985,76.97,18.66,34.57,3.57,Lilongwe,3.96,2.4,1574.534888763607
1986,75.96,18.79,33.64,5.23,Lilongwe,4.59,2.36,1455.77686646713
1987,71.51,19.72,34.76,5.47,Lilongwe,3.24,2.31,1281.68311895503
1988,73.89,19.6,33.4,6.12,Lilongwe,3.58,2.46,1861.9590144835115
1989,76.31,18.99,34.95,6.22,Lilongwe,4.45,2.42,1874.6959388543842
1990,69.21,19.88,35.07,6.98,Lilongwe,2.9,2.48,1117.0903210971749
1991,69.87,19.73,33.1,5.87,Lilongwe,3.35,2.39,1580.0953221535744
1992,64.55,20.53,34.55,6.4,Lilongwe,2.86,2.41,659.2926103509661
1993,73.08,19.51,35.03,6.08,Lilongwe,3.89,2.39,1561.338066726717
1994,64.87,20.18,35.72,6.35,Lilongwe,2.67,2.48,764.3716229902172
1995,66.58,20.24,35.21,6.02,Lilongwe,2.88,2.49,1316.2006988521136
1996,71.33,19.63,34.83,5.65,Lilongwe,3.38,2.41,1657.3935131238106
1997,74.2,19.65,35.56,6.74,Lilongwe,2.9,2.52,1074.755654077623
1998,64.16,20.94,34.44,7.53,Lilongwe,2.12,2.63,1379.4929517546386
1999,75.77,19.26,34.09,4.95,Lilongwe,3.32,2.56,1851.3865149621163
2000,70.65,20.01,33.82,7.71,Lilongwe,2.6,2.46,2025.1422088712766
2001,69.51,20.05,34.08,5.55,Lilongwe,2.8,2.39,1398.872253724781
2002,68.43,20.35,34.8,5.81,Lilongwe,2.6,2.42,1231.1165944567874
2003,70.57,20.11,34.86,7.18,Lilongwe,2.89,2.25,1682.153596035009
2004,72.67,19.9,34.49,7.28,Lilongwe,3.51,2.4,1133.8693069767714
2005,65.98,20.63,35.23,6.91,Lilongwe,1.88,2.38,1059.4908721150207
2006,71.83,19.96,35.17,5.38,Lilongwe,2.93,2.31,1377.1025026740645
2007,69.81,20.34,35.6,6.98,Lilongwe,2.77,2.36,2161.144716481446
2008,68.07,20.02,35.45,6.16,Lilongwe,2.56,2.29,1707.3348135671085
2009,70.98,19.94,34.65,6.84,Lilongwe,2.83,2.23,2139.536362769103
2010,69.72,20.52,35.53,6.66,Lilongwe,3.25,2.4,2429.3518740684185
2011,70.74,19.98,36.99,6.19,Lilongwe,2.61,2.16,2720.240642982831
2012,68.86,20.31,35.07,4.97,Lilongwe,3.07,2.22,2563.814709390908
2013,68.41,20.29,35.51,7.41,Lilongwe,3.37,2.31,2737.864197226806
2014,70.53,20.23,36.56,7.02,Lilongwe,3.68,2.29,2750.0121844234327
2015,67.98,20.68,36.32,7.41,Lilongwe,1.75,2.37,2074.157026188343
2016,66.43,20.93,35.54,7.94,Lilongwe,2.27,2.4,1858.7172395306618
2017,71.7,20.28,37.03,7.83,Lilongwe,2.7,2.42,2266.4220413574017
2018,71.05,20.29,35.15,5.41,Lilongwe,3.36,2.39,1778.727619606692
2019,73.52,20.19,35.84,5.67,Lilongwe,3.62,2.32,2055.990729029877
2020,71.56,20.32,35.16,6.76,Lilongwe,3.93,2.33,2162.6473609548502
2021,72.2,20.03,35.5,6.84,Lilongwe,3.07,2.39,2657.927112019608
2022,75.12,19.66,34.57,7.01,Lilongwe,4.48,2.23,2420.8602400760174
2023,74.17,20.36,35.64,6.61,Lilongwe,3.3,2.26,2325.0993438237833
2024,70.23,20.6,34.4,5.97,Lilongwe,4.22,2.29,
2025,72.29,20.28,34.9,5.95,Lilongwe,2.89,2.42,
1981,67.5,20.27,37.58,4.57,Mchinji,2.65,2.49,
1982,73.68,19.92,35.3,5.44,Mchinji,4.69,2.38,
1983,65.78,21.6,37.96,6.96,Mchinji,3.86,2.35,
1984,71.65,20.21,34.96,6.68,Mchinji,4.47,2.37,1434.6804511278194
1985,74.54,19.55,36.95,3.67,Mchinji,3.96,2.4,1585.957587078343
1986,72.26,19.88,35.92,5.37,Mchinji,4.59,2.36,1290.8914984386683
1987,66.13,21.08,36.72,6.03,Mchinji,3.24,2.31,1052.533459472996
1988,70.0,20.76,36.01,6.52,Mchinji,3.58,2.46,1269.7677665565225
1989,73.44,19.98,37.29,6.41,Mchinji,4.45,2.42,1737.3270825154154
1990,65.26,21.03,37.36,7.71,Mchinji,2.9,2.48,1498.7146529562983
1991,64.8,21.07,35.32,6.31,Mchinji,3.35,2.39,1566.1465187691922
1992,58.1,22.09,37.44,7.24,Mchinji,2.86,2.41,513.2716363266552
1993,69.27,20.63,36.93,6.31,Mchinji,3.89,2.39,
1994,60.58,21.42,38.43,6.61,Mchinji,2.67,2.48,1378.3501757469246
1995,60.97,21.62,37.14,6.89,Mchinji,2.88,2.49,1483.563806880712
1996,67.54,20.78,36.94,5.68,Mchinji,3.38,2.41,1644.969175293707
1997,71.77,20.57,37.76,7.74,Mchinji,2.9,2.52,1212.285558682037
1998,58.65,22.34,36.79,8.33,Mchinji,2.12,2.63,1294.0866471970312
1999,71.48,20.43,36.42,5.73,Mchinji,3.32,2.56,1768.7378211695695
2000,66.02,21.25,35.74,8.18,Mchinji,2.6,2.46,1697.8516342269556
2001,65.14,21.26,36.15,5.94,Mchinji,2.8,2.39,1151.1757533530745
2002,62.68,21.74,36.81,6.67,Mchinji,2.6,2.42,
2003,65.78,21.33,37.19,7.44,Mchinji,2.89,2.25,1801.9247293349372
2004,67.86,21.15,37.13,7.74,Mchinji,3.51,2.4,893.141488428581
2005,61.08,21.93,37.18,7.49,Mchinji,1.88,2.38,1091.8016521297707
2006,67.98,21.09,37.31,6.08,Mchinji,2.93,2.31,1869.1472868217054
2007,66.54,21.36,36.95,7.46,Mchinji,2.77,2.36,2277.464406779661
2008,63.97,21.17,37.4,6.87,Mchinji,2.56,2.29,2161.135211414833
2009,67.99,20.92,36.22,7.35,Mchinji,2.83,2.23,2331.052126638951
2010,64.97,21.82,37.75,7.44,Mchinji,3.25,2.4,2298.1885957248533
2011,67.03,21.05,38.87,6.71,Mchinji,2.61,2.16,2378.649308004486
2012,64.55,21.55,37.41,5.85,Mchinji,3.07,2.22,2261.1819777647747
2013,63.59,21.58,37.82,8.01,Mchinji,3.37,2.31,2305.2534472713146
2014,67.83,21.23,38.5,6.64,Mchinji,3.68,2.29,2359.127786633675
2015,64.77,21.76,38.99,7.97,Mchinji,1.75,2.37,1458.03894344355
2016,60.37,22.44,37.77,8.79,Mchinji,2.27,2.4,1638.5060655718378
2017,69.23,21.24,39.36,8.2,Mchinji,2.7,2.42,2104.3511399045033
2018,68.17,21.29,37.17,5.84,Mchinji,3.36,2.39,1844.456640112505
2019,71.62,21.02,38.47,6.33,Mchinji,3.62,2.32,1918.0169585937983
2020,69.06,21.25,37.23,6.08,Mchinji,3.93,2.33,2073.659441823232
2021,69.88,20.97,37.74,7.26,Mchinji,3.07,2.39,2957.8469264859846
2022,73.3,20.52,36.43,7.33,Mchinji,4.48,2.23,2741.7802012879843
2023,72.2,21.23,38.69,7.07,Mchinji,3.3,2.26,2573.3964622275744
2024,66.18,21.77,36.95,6.12,Mchinji,4.22,2.29,
2025,69.02,21.35,36.87,6.78,Mchinji,2.89,2.42,
1981,65.17,22.45,35.17,9.44,Chitipa,3.4,2.9,
1982,71.07,22.14,33.96,9.32,Chitipa,5.28,2.82,
1983,67.54,22.94,36.16,11.45,Chitipa,3.64,2.93,1488.422247446084
1984,70.82,21.74,33.88,11.54,Chitipa,5.74,2.87,1533.5856196783348
1985,70.08,21.64,35.03,9.93,Chitipa,5.32,2.83,1700.4239737907112
1986,69.97,21.73,34.23,9.91,Chitipa,5.01,2.89,1060.9378918331522
1987,68.42,22.49,34.85,9.93,Chitipa,3.92,2.76,986.7104183757178
1988,66.72,22.9,34.71,11.68,Chitipa,3.9,2.89,1041.2339645693341
1989,70.89,21.8,34.86,10.54,Chitipa,4.75,2.83,1292.8539122568973
1990,65.98,22.57,36.42,11.21,Chitipa,3.18,2.99,1080.0410466906105
1991,67.61,22.44,35.21,9.91,Chitipa,3.76,2.86,1106.7220543806645
1992,65.35,22.65,34.81,10.19,Chitipa,2.77,2.96,599.9848220384002
1993,67.11,22.29,36.04,10.06,Chitipa,3.62,3.0,1711.840925759922
1994,66.3,22.49,36.22,10.63,Chitipa,3.44,2.92,638.535164377861
1995,66.61,22.47,36.02,10.82,Chitipa,3.25,2.96,1446.119171714326
1996,67.78,22.26,35.56,9.43,Chitipa,4.05,2.8,1673.4873041599137
1997,69.76,22.4,36.08,10.6,Chitipa,3.36,2.98,893.8259035706494
1998,62.59,23.55,35.61,11.64,Chitipa,1.94,3.04,1307.1944611679712
1999,67.87,22.4,35.54,10.78,Chitipa,3.59,3.01,1843.9500538758953
2000,63.95,22.91,34.76,11.1,Chitipa,2.48,2.87,1462.7320738280612
2001,63.52,23.04,36.25,11.5,Chitipa,2.27,2.83,861.4068251915232
2002,65.47,23.03,35.21,11.0,Chitipa,2.86,2.91,1018.743870100621
2003,64.78,23.21,35.65,10.69,Chitipa,2.8,2.65,1441.5644526729923
2004,67.62,22.77,35.49,10.8,Chitipa,3.15,2.87,1510.7121749408982
2005,64.36,23.32,35.8,11.51,Chitipa,2.03,2.81,1239.7964225714004
2006,68.78,22.74,35.62,10.19,Chitipa,4.34,2.66,1731.4922797033169
